RELAÇÃO DE COLABORADORES — FRETAMENTO 2026
Empresa Modelo S.A. · exportado do RH

Matrícula;Colaborador;Endereço;Nº;Bairro;Planta;Turno de trabalho;Mobilidade reduzida;Latitude;Longitude;Centro de custo
50183;Tânia Nunes;Av. Industrial;s/n;Distrito de Bonfim;Planta 2 — Centro de distribuição;3 TURNO;;;;CC-3070 Qualidade
50184;Paulo Pires;Av. Industrial;102;Zona Rural Norte;Planta 1 — Fábrica;3º turno;;-21.112784;-47.773981;CC-5020 Manutenção
50185;Bruno Farias;Rua das Palmeiras;s/n;Jardim Operário;Escritório administrativo;COMERCIAL;;;;CC-3070 Qualidade
50186;Hélio Cardoso;Rua Projetada B;1160;Vila Industrial;Escritório administrativo;Escritório;;-21.158261;-47.789254;CC-1010 Produção
50187;Nilton Nunes;Rodovia SP-330 km 12;24;Centro;Escritório administrativo;COMERCIAL;;-21.158816;-47.796068;CC-5020 Manutenção
50188;Renata Barbosa;Rua Projetada B;283;Distrito de Bonfim;Planta 1 — Fábrica;3 TURNO;;-21.223464;-47.862561;CC-3070 Qualidade
50189;Kátia Ramos;Rua 7 de Setembro;60;Zona Rural Norte;Planta 2 — Centro de distribuição;1 TURNO;;-21.062273;-47.765868;CC-2040 Logística
50190;LEANDRO TEIXEIRA;Rua Projetada B;791;Jardim Operário;Escritório administrativo;Geral;;-21.179749;-47.82082;CC-1010 Produção
50191;Jonas Gonçalves;Rua 7 de Setembro;455;Vila Industrial;Planta 2 — Centro de distribuição;T1;;-21.144549;-47.791708;CC-4090 Administrativo
50192;Odete Santos;Rua Projetada B;1162;Centro;Planta 1 — Fábrica;T2;;-21.156213;-47.811662;CC-3070 Qualidade
50193;Iara Cardoso;Rua 7 de Setembro;s/n;Distrito de Bonfim;Planta 2 — Centro de distribuição;T2;N;;;CC-4090 Administrativo
50194;Vagner Nunes;Av. dos Trabalhadores;565;Zona Rural Norte;Planta 1 — Fábrica;turno 2;sim;-21.078731;-47.763366;CC-1010 Produção
50194;Vagner Nunes;Av. dos Trabalhadores;565;Zona Rural Norte;Planta 2 — Centro de distribuição;turno 2;sim;-21.078731;-47.763366;CC-1010 Produção
50195;Renata Barbosa;Av. Industrial;s/n;Jardim Operário;Planta 2 — Centro de distribuição;turno 3;;;;CC-3070 Qualidade
50196;Márcia Queiroz;Rua das Palmeiras;380;Vila Industrial;Planta 1 — Fábrica;A;;-21.140415;-47.777378;CC-5020 Manutenção
50197;Kátia Esteves;Av. dos Trabalhadores;955;Centro;Planta 2 — Centro de distribuição;C;;-21.168258;-47.80655;CC-4090 Administrativo
50198;Sérgio Cardoso;Rua Projetada B;246;Distrito de Bonfim;Escritório administrativo;Escritório;;-21.226891;-47.861801;CC-5020 Manutenção
50199;Leandro Nunes;Rua 7 de Setembro;1084;Zona Rural Norte;Planta 2 — Centro de distribuição;2º turno;não;-21.07149;-47.75794;CC-4090 Administrativo
50200;Paulo Barbosa;Rua Projetada B;384;Jardim Operário;Planta 1 — Fábrica;2 TURNO;;-21.17956;-47.815134;CC-5020 Manutenção
50201;Odete Cardoso;Rua 7 de Setembro;87;Vila Industrial;Planta 2 — Centro de distribuição;2º turno;;-21.143726;-47.794679;CC-1010 Produção
50202;Tânia Cardoso;Av. dos Trabalhadores;s/n;Centro;Planta 1 — Fábrica;turno 2;;;;CC-3070 Qualidade
50203;Renata Barbosa;Av. dos Trabalhadores;619;Distrito de Bonfim;Planta 2 — Centro de distribuição;2 TURNO;;-21.234923;-47.861257;CC-1010 Produção
50204;Adriana Duarte;Estrada do Contorno;s/n;Zona Rural Norte;Escritório administrativo;Geral;;;;CC-4090 Administrativo
50205;Cláudia Teixeira;Rua 7 de Setembro;434;Jardim Operário;Escritório administrativo;COMERCIAL;;-21.167801;-47.834738;CC-1010 Produção
50206;Kátia Gonçalves;Rua 7 de Setembro;990;Vila Industrial;Planta 1 — Fábrica;T2;;-21.146062;-47.780218;CC-4090 Administrativo
50207;Gisele Esteves;Rodovia SP-330 km 12;1000;Centro;Planta 2 — Centro de distribuição;turno 1;;-21.157719;-47.810602;CC-2040 Logística
50208;Odete Lima;Rua das Palmeiras;s/n;Distrito de Bonfim;Planta 1 — Fábrica;A;;;;CC-3070 Qualidade
50209;FERNANDO FARIAS;Rua 7 de Setembro;s/n;Zona Rural Norte;Planta 2 — Centro de distribuição;1º turno;;;;CC-5020 Manutenção
50210;Cláudia Gonçalves;Av. dos Trabalhadores;972;Jardim Operário;Escritório administrativo;COMERCIAL;-;-21.173962;-47.799554;CC-3070 Qualidade
50211;Cláudia Nunes;Av. Industrial;280;Vila Industrial;Escritório administrativo;COMERCIAL;;-21.143651;-47.778568;CC-2040 Logística
50212;Adriana Moreira;Rua Projetada B;369;Centro;Planta 1 — Fábrica;turno 3;-;-21.15475;-47.805706;CC-5020 Manutenção
50213;Kátia Henriques;Travessa da Fábrica;s/n;Distrito de Bonfim;Planta 2 — Centro de distribuição;T2;;;;CC-3070 Qualidade
50214;Edna Queiroz;Av. Industrial;1047;Zona Rural Norte;Planta 1 — Fábrica;2º turno;;-21.124303;-47.748472;CC-1010 Produção
50215;Odete Cardoso;Travessa da Fábrica;366;Jardim Operário;Planta 2 — Centro de distribuição;1º turno;;-21.156705;-47.829466;CC-3070 Qualidade
50216;Renata Henriques;Rua 7 de Setembro;69;Vila Industrial;Planta 1 — Fábrica;A;;-21.1419;-47.778966;CC-2040 Logística
50217;Hélio Henriques;Rua das Palmeiras;870;Centro;Planta 2 — Centro de distribuição;T2;-;-21.146045;-47.802966;CC-2040 Logística
50218;Edna Santos;Estrada do Contorno;540;Distrito de Bonfim;Planta 1 — Fábrica;2 TURNO;;-21.215953;-47.839918;CC-3070 Qualidade
50219;Leandro Cardoso;Av. dos Trabalhadores;s/n;Zona Rural Norte;Planta 2 — Centro de distribuição;B;;;;CC-5020 Manutenção
50220;Fernando Cardoso;Estrada do Contorno;1139;Jardim Operário;Planta 1 — Fábrica;turno 2;;-21.165427;-47.802603;CC-2040 Logística
50221;Odete Pires;Rodovia SP-330 km 12;s/n;Vila Industrial;Planta 2 — Centro de distribuição;turno 1;;;;CC-1010 Produção
50222;Sérgio Gonçalves;Av. dos Trabalhadores;s/n;Centro;Planta 1 — Fábrica;3º turno;;;;CC-5020 Manutenção
50223;Fernando Nunes;Travessa da Fábrica;394;Distrito de Bonfim;Planta 2 — Centro de distribuição;T2;;-21.229759;-47.852661;CC-5020 Manutenção
50224;Bruno Queiroz;Rua 7 de Setembro;671;Zona Rural Norte;Escritório administrativo;Administrativo;;-21.095511;-47.730149;CC-2040 Logística
50225;Nilton Almeida;Travessa da Fábrica;321;Jardim Operário;Planta 2 — Centro de distribuição;turno 1;;-21.174179;-47.798705;CC-2040 Logística
50226;Fernando Nunes;Rua Projetada B;694;Vila Industrial;Escritório administrativo;Escritório;;-21.156573;-47.776317;CC-3070 Qualidade
50227;Edna Ramos;Rodovia SP-330 km 12;712;Centro;Planta 2 — Centro de distribuição;A;;-21.154213;-47.805208;CC-2040 Logística
50228;RENATA HENRIQUES;Travessa da Fábrica;975;Distrito de Bonfim;Escritório administrativo;ADM;;-21.207786;-47.889454;CC-2040 Logística
50229;Cláudia Santos;Av. Industrial;809;Zona Rural Norte;Planta 2 — Centro de distribuição;B;;-21.071043;-47.763263;CC-4090 Administrativo
50230;Márcia Moreira;Estrada do Contorno;s/n;Jardim Operário;Escritório administrativo;Escritório;;;;CC-5020 Manutenção
50231;Douglas Santos;Rua 7 de Setembro;257;Vila Industrial;Planta 2 — Centro de distribuição;3º turno;;-21.152212;-47.797343;CC-5020 Manutenção
50232;Nilton Queiroz;Av. dos Trabalhadores;547;Centro;Planta 1 — Fábrica;turno 1;;-21.169111;-47.80646;CC-3070 Qualidade
50233;Jonas Teixeira;Estrada do Contorno;865;Distrito de Bonfim;Planta 2 — Centro de distribuição;turno 2;;-21.219039;-47.875491;CC-2040 Logística
50234;Adriana Moreira;Rodovia SP-330 km 12;482;Zona Rural Norte;Planta 1 — Fábrica;1º turno;;-21.083559;-47.767924;CC-5020 Manutenção
50235;Fernando Barbosa;Av. Industrial;763;Jardim Operário;Planta 2 — Centro de distribuição;1º turno;;-21.170646;-47.831215;CC-4090 Administrativo
50236;Renata Teixeira;Estrada do Contorno;173;Vila Industrial;Planta 1 — Fábrica;turno 1;;-21.149668;-47.798743;CC-4090 Administrativo
50237;Leandro Cardoso;Av. dos Trabalhadores;s/n;Centro;Escritório administrativo;COMERCIAL;;;;CC-4090 Administrativo
50238;Kátia Duarte;Rua das Palmeiras;107;Distrito de Bonfim;Planta 1 — Fábrica;T2;;-21.191193;-47.845528;CC-2040 Logística
50239;Márcia Queiroz;Rua Projetada B;804;Zona Rural Norte;Escritório administrativo;Escritório;;-21.129261;-47.752921;CC-1010 Produção
50240;Márcia Teixeira;Av. Industrial;1162;Jardim Operário;Planta 1 — Fábrica;C;;-21.172143;-47.799798;CC-1010 Produção
50241;Vagner Gonçalves;Travessa da Fábrica;s/n;Vila Industrial;Escritório administrativo;COMERCIAL;;;;CC-2040 Logística
50242;Edna Moreira;Av. Industrial;1129;Centro;Planta 1 — Fábrica;2 TURNO;;-21.151541;-47.802574;CC-5020 Manutenção
50243;Adriana Teixeira;Av. dos Trabalhadores;74;Distrito de Bonfim;Escritório administrativo;COMERCIAL;;-21.198957;-47.882938;CC-4090 Administrativo
50244;Iara Moreira;Rua das Palmeiras;979;Zona Rural Norte;Planta 1 — Fábrica;turno 1;não;-21.08279;-47.730002;CC-5020 Manutenção
50245;Nilton Nunes;Travessa da Fábrica;98;Jardim Operário;Planta 2 — Centro de distribuição;A;;-21.175088;-47.818427;CC-4090 Administrativo
50246;Nilton Cardoso;Travessa da Fábrica;218;Vila Industrial;Planta 1 — Fábrica;turno 3;;-21.134923;-47.78569;CC-2040 Logística
50247;MÁRCIA FARIAS;Rua das Palmeiras;926;Centro;Planta 2 — Centro de distribuição;A;-;-21.163628;-47.812091;CC-4090 Administrativo
50248;Jonas Nunes;Rua 7 de Setembro;661;Distrito de Bonfim;Planta 1 — Fábrica;3º turno;;-21.192469;-47.878856;CC-3070 Qualidade
50249;Adriana Lima;Travessa da Fábrica;866;Zona Rural Norte;Escritório administrativo;ADM;;-21.063358;-47.738524;CC-3070 Qualidade
50250;Gisele Cardoso;Estrada do Contorno;694;Jardim Operário;Escritório administrativo;Escritório;;-21.153568;-47.805448;CC-1010 Produção
50251;Nilton Farias;Av. dos Trabalhadores;381;Vila Industrial;Planta 2 — Centro de distribuição;1 TURNO;;-21.155135;-47.790209;CC-4090 Administrativo
50252;Leandro Gonçalves;Travessa da Fábrica;930;Centro;Planta 1 — Fábrica;1 TURNO;;-21.153804;-47.793749;CC-5020 Manutenção
50253;Sérgio Teixeira;Rua das Palmeiras;276;Distrito de Bonfim;Planta 2 — Centro de distribuição;2º turno;;-21.185477;-47.850232;CC-5020 Manutenção
50254;Gisele Barbosa;Travessa da Fábrica;167;Zona Rural Norte;Planta 1 — Fábrica;2º turno;-;-21.067589;-47.763367;CC-4090 Administrativo
50255;Nilton Farias;Rua Dom Pedro;s/n;Jardim Operário;Escritório administrativo;ADM;;;;CC-3070 Qualidade
50256;Hélio Gonçalves;Rua 7 de Setembro;640;Vila Industrial;Escritório administrativo;Administrativo;;-21.14089;-47.781977;CC-4090 Administrativo
50257;Adriana Barbosa;Rua das Palmeiras;s/n;Centro;Escritório administrativo;Escritório;;;;CC-4090 Administrativo
50258;Douglas Esteves;Estrada do Contorno;312;Distrito de Bonfim;Escritório administrativo;Geral;;-21.17625;-47.861537;CC-1010 Produção
50259;Paulo Barbosa;Rua Projetada B;728;Zona Rural Norte;Planta 2 — Centro de distribuição;1º turno;;-21.114122;-47.755011;CC-1010 Produção
50260;Gisele Duarte;Rua Dom Pedro;91;Jardim Operário;Planta 1 — Fábrica;1º turno;;-21.174666;-47.830766;CC-3070 Qualidade
50261;Renata Henriques;Estrada do Contorno;418;Vila Industrial;Planta 2 — Centro de distribuição;C;;-21.160127;-47.779873;CC-3070 Qualidade
50262;Douglas Barbosa;Rua 7 de Setembro;617;Centro;Escritório administrativo;Administrativo;?;-21.160609;-47.793846;CC-3070 Qualidade
50263;Hélio Duarte;Av. Industrial;29;Distrito de Bonfim;Escritório administrativo;Geral;NÃO;-21.225865;-47.856364;CC-2040 Logística
50264;Kátia Santos;Rua Projetada B;250;Zona Rural Norte;Planta 1 — Fábrica;C;;-21.138354;-47.779681;CC-3070 Qualidade
50265;Gisele Barbosa;Av. Industrial;169;Jardim Operário;Planta 2 — Centro de distribuição;T2;;-21.164998;-47.808685;CC-4090 Administrativo
50266;EDNA NUNES;Rua Dom Pedro;217;Vila Industrial;Planta 1 — Fábrica;turno 1;;-21.154551;-47.780426;CC-1010 Produção
50267;Cláudia Farias;Rua Projetada B;s/n;Centro;Planta 2 — Centro de distribuição;C;;;;CC-3070 Qualidade
50268;Leandro Lima;Estrada do Contorno;562;Distrito de Bonfim;Planta 1 — Fábrica;T3;;-21.227095;-47.8584;CC-2040 Logística
50269;Tânia Moreira;Av. Industrial;s/n;Zona Rural Norte;Planta 2 — Centro de distribuição;A;;;;CC-1010 Produção
50270;Cláudia Lima;Rua das Palmeiras;600;Jardim Operário;Planta 1 — Fábrica;T2;;-21.165044;-47.830635;CC-3070 Qualidade
50271;Tânia Cardoso;Rua das Palmeiras;133;Vila Industrial;Escritório administrativo;Geral;;-21.153748;-47.79744;CC-5020 Manutenção
50272;Márcia Nunes;Rua 7 de Setembro;318;Centro;Planta 1 — Fábrica;T1;não;-21.162931;-47.80913;CC-3070 Qualidade
50273;Bruno Santos;Travessa da Fábrica;48;Distrito de Bonfim;Planta 2 — Centro de distribuição;2 TURNO;;-21.188746;-47.843364;CC-4090 Administrativo
50274;Kátia Queiroz;Av. Industrial;41;Zona Rural Norte;Planta 1 — Fábrica;A;;-21.103808;-47.774204;CC-3070 Qualidade
50275;Hélio Barbosa;Av. Industrial;706;Jardim Operário;Planta 2 — Centro de distribuição;2º turno;;-21.171834;-47.819608;CC-1010 Produção
50276;Adriana Duarte;Rua Dom Pedro;s/n;Vila Industrial;Planta 1 — Fábrica;2 TURNO;;;;CC-5020 Manutenção
50277;Tânia Moreira;Estrada do Contorno;181;Centro;Planta 2 — Centro de distribuição;2º turno;;-21.158894;-47.797924;CC-5020 Manutenção
50278;Adriana Almeida;Rua das Palmeiras;1151;Distrito de Bonfim;Planta 1 — Fábrica;T3;;-21.228273;-47.84856;CC-5020 Manutenção
50279;Kátia Gonçalves;Av. Industrial;s/n;Zona Rural Norte;Planta 2 — Centro de distribuição;2º turno;;;;CC-3070 Qualidade
50280;Vagner Queiroz;Travessa da Fábrica;s/n;Jardim Operário;Planta 1 — Fábrica;C;;;;CC-1010 Produção
50281;Odete Lima;Travessa da Fábrica;959;Vila Industrial;Planta 2 — Centro de distribuição;2º turno;;-21.140448;-47.78013;CC-3070 Qualidade
50282;Paulo Nunes;Rodovia SP-330 km 12;s/n;Centro;Escritório administrativo;Administrativo;;;;CC-2040 Logística
50283;Jonas Pires;Travessa da Fábrica;704;Distrito de Bonfim;Planta 2 — Centro de distribuição;T1;;-21.188389;-47.836864;CC-4090 Administrativo
50284;Gisele Lima;Rodovia SP-330 km 12;211;Zona Rural Norte;Planta 1 — Fábrica;1 TURNO;;-21.0721;-47.732823;CC-3070 Qualidade
50285;CLÁUDIA BARBOSA;Av. Industrial;340;Jardim Operário;Planta 2 — Centro de distribuição;1º turno;-;-21.171941;-47.828969;CC-5020 Manutenção
50286;Adriana Nunes;Estrada do Contorno;776;Vila Industrial;Escritório administrativo;Administrativo;;-21.15076;-47.804811;CC-3070 Qualidade
50287;Jonas Ramos;Travessa da Fábrica;262;Centro;Escritório administrativo;ADM;;-21.169842;-47.803085;CC-3070 Qualidade
50288;Douglas Ramos;Av. dos Trabalhadores;14;Distrito de Bonfim;Escritório administrativo;COMERCIAL;;-21.189125;-47.846331;CC-4090 Administrativo
50289;Kátia Cardoso;Rua Projetada B;731;Zona Rural Norte;Planta 2 — Centro de distribuição;3º turno;;-21.097708;-47.723744;CC-3070 Qualidade
50290;Sérgio Esteves;Estrada do Contorno;s/n;Jardim Operário;Planta 1 — Fábrica;1 TURNO;;;;CC-4090 Administrativo
50291;Kátia Pires;Rua Projetada B;76;Vila Industrial;Planta 2 — Centro de distribuição;2º turno;;-21.146079;-47.775654;CC-2040 Logística
50291;Kátia Pires;Rua Projetada B;76;Vila Industrial;Planta 1 — Fábrica;2º turno;;-21.146079;-47.775654;CC-2040 Logística
50292;Vagner Queiroz;Travessa da Fábrica;157;Centro;Escritório administrativo;ADM;-;-47.797569;-21.150849;CC-2040 Logística
50293;Iara Duarte;Rua Dom Pedro;281;Distrito de Bonfim;Planta 2 — Centro de distribuição;B;;-21.222955;-47.863317;CC-2040 Logística
50294;Vagner Nunes;Rua Dom Pedro;288;Zona Rural Norte;Planta 1 — Fábrica;turno 2;;-21.132032;-47.789191;CC-2040 Logística
50295;Douglas Barbosa;Rua das Palmeiras;285;Jardim Operário;Planta 2 — Centro de distribuição;turno 2;;-21.15593;-47.808419;CC-3070 Qualidade
50296;Edna Cardoso;Rua Projetada B;s/n;Vila Industrial;Escritório administrativo;ADM;;;;CC-2040 Logística
50297;Vagner Nunes;Rua Projetada B;311;Centro;Planta 2 — Centro de distribuição;T3;;-21.147492;-47.80453;CC-3070 Qualidade
50298;Sérgio Nunes;Estrada do Contorno;1142;Distrito de Bonfim;Escritório administrativo;Escritório;;-21.206376;-47.847108;CC-2040 Logística
50299;Kátia Queiroz;Rua das Palmeiras;s/n;Zona Rural Norte;Planta 2 — Centro de distribuição;turno 3;não;;;CC-1010 Produção
50300;Gisele Pires;Rodovia SP-330 km 12;s/n;Jardim Operário;Planta 1 — Fábrica;turno 1;;;;CC-4090 Administrativo
50301;Sérgio Barbosa;Av. dos Trabalhadores;1160;Vila Industrial;Planta 2 — Centro de distribuição;turno 1;;-21.162691;-47.787138;CC-3070 Qualidade
50302;Edna Queiroz;Av. Industrial;282;Centro;Escritório administrativo;ADM;não;-21.162019;-47.811149;CC-3070 Qualidade
50303;Cláudia Teixeira;Rua Dom Pedro;s/n;Distrito de Bonfim;Planta 2 — Centro de distribuição;1 TURNO;;;;CC-1010 Produção
50304;ODETE NUNES;Rua das Palmeiras;1159;Zona Rural Norte;Planta 1 — Fábrica;3º turno;-;-21.071149;-47.780603;CC-1010 Produção
50305;Adriana Almeida;Rodovia SP-330 km 12;792;Jardim Operário;Planta 2 — Centro de distribuição;T1;;-21.16961;-47.826491;CC-1010 Produção
50306;Tânia Queiroz;Av. Industrial;1070;Vila Industrial;Planta 1 — Fábrica;1 TURNO;;-21.14836;-47.804055;CC-1010 Produção
50307;Iara Nunes;Rua Dom Pedro;174;Centro;Planta 2 — Centro de distribuição;T1;;-21.161733;-47.797149;CC-3070 Qualidade
50308;Adriana Pires;Rua 7 de Setembro;342;Distrito de Bonfim;Planta 1 — Fábrica;T1;;-21.228723;-47.873055;CC-5020 Manutenção
50309;Paulo Almeida;Av. dos Trabalhadores;979;Zona Rural Norte;Planta 2 — Centro de distribuição;A;;-21.114977;-47.725375;CC-5020 Manutenção
50310;Iara Queiroz;Rodovia SP-330 km 12;853;Jardim Operário;Planta 1 — Fábrica;C;;-21.165198;-47.828312;CC-1010 Produção
50311;Nilton Pires;Travessa da Fábrica;576;Vila Industrial;Planta 2 — Centro de distribuição;B;;-21.152018;-47.798007;CC-1010 Produção
50312;Vagner Teixeira;Rua Projetada B;668;Centro;Planta 1 — Fábrica;B;-;-21.150585;-47.80199;CC-4090 Administrativo
50313;Kátia Moreira;Estrada do Contorno;513;Distrito de Bonfim;Escritório administrativo;Geral;;-21.188957;-47.850893;CC-2040 Logística
50314;Odete Nunes;Estrada do Contorno;554;Zona Rural Norte;Planta 1 — Fábrica;turno 1;;-21.085144;-47.734288;CC-5020 Manutenção
50315;Sérgio Queiroz;Rua 7 de Setembro;1049;Jardim Operário;Planta 2 — Centro de distribuição;turno 1;;-21.180235;-47.830058;CC-2040 Logística
50316;Iara Cardoso;Rua das Palmeiras;s/n;Vila Industrial;Planta 1 — Fábrica;2º turno;;;;CC-4090 Administrativo
50317;Bruno Ramos;Estrada do Contorno;356;Centro;Planta 2 — Centro de distribuição;turno 2;não;-21.154913;-47.812058;CC-5020 Manutenção
50318;Edna Teixeira;Rua Dom Pedro;s/n;Distrito de Bonfim;Planta 1 — Fábrica;A;;;;CC-5020 Manutenção
50319;Márcia Ramos;Travessa da Fábrica;76;Zona Rural Norte;Planta 2 — Centro de distribuição;2 TURNO;;-21.093529;-47.783834;CC-3070 Qualidade
50320;Kátia Lima;Av. dos Trabalhadores;6;Jardim Operário;Planta 1 — Fábrica;turno 1;;-21.155479;-47.823487;CC-2040 Logística
50321;Tânia Esteves;Rua das Palmeiras;99;Vila Industrial;Planta 2 — Centro de distribuição;1 TURNO;;-21.148416;-47.784757;CC-3070 Qualidade
50322;Paulo Duarte;Rodovia SP-330 km 12;708;Centro;Planta 1 — Fábrica;T2;;-21.162606;-47.804477;CC-2040 Logística
50323;IARA FARIAS;Av. Industrial;1086;Distrito de Bonfim;Escritório administrativo;Escritório;;-21.187217;-47.857894;CC-2040 Logística
50324;Leandro Farias;Av. Industrial;301;Zona Rural Norte;Planta 1 — Fábrica;turno 2;;-21.114085;-47.752418;CC-4090 Administrativo
50325;Tânia Farias;Rua 7 de Setembro;518;Jardim Operário;Planta 2 — Centro de distribuição;turno 2;;-21.158;-47.80709;CC-1010 Produção
50326;Fernando Farias;Av. Industrial;947;Vila Industrial;Planta 1 — Fábrica;2º turno;;-21.155183;-47.789663;CC-2040 Logística
50327;Cláudia Lima;Av. dos Trabalhadores;s/n;Centro;Escritório administrativo;COMERCIAL;;;;CC-4090 Administrativo
50328;Adriana Almeida;Rua Dom Pedro;s/n;Distrito de Bonfim;Planta 1 — Fábrica;3º turno;;;;CC-3070 Qualidade
50329;Kátia Ramos;Rua 7 de Setembro;305;Zona Rural Norte;Planta 2 — Centro de distribuição;1 TURNO;;-21.102302;-47.721112;CC-2040 Logística
50330;Adriana Duarte;Rua 7 de Setembro;436;Jardim Operário;Escritório administrativo;Administrativo;;-21.174772;-47.821218;CC-3070 Qualidade
50331;Iara Nunes;Rodovia SP-330 km 12;294;Vila Industrial;Escritório administrativo;Administrativo;;-21.146311;-47.796699;CC-2040 Logística
50332;Renata Henriques;Av. Industrial;358;Centro;Planta 1 — Fábrica;2º turno;;-21.150535;-47.804665;CC-2040 Logística
50333;Fernando Moreira;Rua 7 de Setembro;892;Distrito de Bonfim;Planta 2 — Centro de distribuição;2 TURNO;;-21.200836;-47.874426;CC-5020 Manutenção
50334;Bruno Gonçalves;Rua 7 de Setembro;905;Zona Rural Norte;Planta 1 — Fábrica;B;;-21.126042;-47.767284;CC-5020 Manutenção
50335;Jonas Pires;Rua das Palmeiras;1041;Jardim Operário;Planta 2 — Centro de distribuição;1 TURNO;;-21.181125;-47.826166;CC-4090 Administrativo
50336;Jonas Moreira;Av. dos Trabalhadores;508;Vila Industrial;Planta 1 — Fábrica;turno 1;;-21.14526;-47.780079;CC-1010 Produção
50337;Jonas Ramos;Rua 7 de Setembro;162;Centro;Escritório administrativo;Geral;?;-21.154489;-47.808567;CC-4090 Administrativo
50338;Bruno Ramos;Estrada do Contorno;713;Distrito de Bonfim;Planta 1 — Fábrica;2º turno;;-21.230465;-47.860291;CC-4090 Administrativo
50339;Douglas Santos;Av. dos Trabalhadores;108;Zona Rural Norte;Escritório administrativo;Escritório;;-21.071302;-47.732956;CC-1010 Produção
50340;Hélio Gonçalves;Rua 7 de Setembro;666;Jardim Operário;Planta 1 — Fábrica;A;;-21.170797;-47.804159;CC-4090 Administrativo
50341;Douglas Cardoso;Rodovia SP-330 km 12;813;Vila Industrial;Planta 2 — Centro de distribuição;B;-;-21.148943;-47.786231;CC-2040 Logística
50342;FERNANDO MOREIRA;Rua das Palmeiras;680;Centro;Planta 1 — Fábrica;T1;;-21.162281;-47.80761;CC-4090 Administrativo
50343;Edna Almeida;Av. Industrial;270;Distrito de Bonfim;Escritório administrativo;Administrativo;;-21.205347;-47.871705;CC-3070 Qualidade
50344;Bruno Cardoso;Rua Dom Pedro;s/n;Zona Rural Norte;Planta 1 — Fábrica;turno 3;;;;CC-2040 Logística
50345;Gisele Queiroz;Rodovia SP-330 km 12;119;Jardim Operário;Planta 2 — Centro de distribuição;turno 2;;-21.181547;-47.828072;CC-1010 Produção
50346;Hélio Moreira;Rua 7 de Setembro;254;Vila Industrial;Planta 1 — Fábrica;turno 1;;-21.16214;-47.78499;CC-4090 Administrativo
50347;Edna Pires;Travessa da Fábrica;899;Centro;Escritório administrativo;Escritório;;-21.151637;-47.808142;CC-3070 Qualidade
50348;Iara Duarte;Av. Industrial;1105;Distrito de Bonfim;Planta 1 — Fábrica;turno 1;;-21.218804;-47.866527;CC-3070 Qualidade
50349;Jonas Moreira;Rua Dom Pedro;1185;Zona Rural Norte;Planta 2 — Centro de distribuição;2 TURNO;;-21.077998;-47.762687;CC-1010 Produção
50350;Hélio Barbosa;Travessa da Fábrica;s/n;Jardim Operário;Planta 1 — Fábrica;1º turno;?;;;CC-3070 Qualidade
50351;Paulo Farias;Estrada do Contorno;795;Vila Industrial;Planta 2 — Centro de distribuição;1º turno;;-21.137118;-47.787696;CC-2040 Logística
50352;Bruno Moreira;Rodovia SP-330 km 12;s/n;Centro;Planta 1 — Fábrica;turno 2;;;;CC-3070 Qualidade
50353;Cláudia Nunes;Rua Projetada B;s/n;Distrito de Bonfim;Planta 2 — Centro de distribuição;2º turno;;;;CC-5020 Manutenção
50354;Fernando Ramos;Av. Industrial;643;Zona Rural Norte;Planta 1 — Fábrica;1 TURNO;;-21.081716;-47.769774;CC-4090 Administrativo
50355;Douglas Esteves;Rua Dom Pedro;294;Jardim Operário;Planta 2 — Centro de distribuição;T3;;-21.176109;-47.796266;CC-2040 Logística
50356;Vagner Nunes;Av. dos Trabalhadores;179;Vila Industrial;Escritório administrativo;ADM;;-21.138464;-47.792812;CC-2040 Logística
50357;Sérgio Henriques;Rodovia SP-330 km 12;491;Centro;Planta 2 — Centro de distribuição;1 TURNO;;-21.163809;-47.805806;CC-1010 Produção
50358;Jonas Ramos;Rua 7 de Setembro;481;Distrito de Bonfim;Planta 1 — Fábrica;turno 3;;-21.190709;-47.863612;CC-5020 Manutenção
50359;Jonas Teixeira;Rua 7 de Setembro;135;Zona Rural Norte;Escritório administrativo;COMERCIAL;;-21.116615;-47.77763;CC-5020 Manutenção
50360;Cláudia Cardoso;Travessa da Fábrica;s/n;Jardim Operário;Escritório administrativo;Escritório;;;;CC-4090 Administrativo
50361;EDNA MOREIRA;Estrada do Contorno;751;Vila Industrial;Planta 2 — Centro de distribuição;1 TURNO;;-21.150254;-47.777464;CC-4090 Administrativo
50362;Fernando Almeida;Estrada do Contorno;s/n;Centro;Planta 1 — Fábrica;turno 3;;;;CC-5020 Manutenção
50363;Edna Ramos;Av. dos Trabalhadores;1134;Distrito de Bonfim;Planta 2 — Centro de distribuição;1º turno;;-21.202838;-47.846788;CC-3070 Qualidade
50364;Douglas Nunes;Rua 7 de Setembro;s/n;Zona Rural Norte;Planta 1 — Fábrica;turno 1;;;;CC-2040 Logística
50365;Sérgio Moreira;Travessa da Fábrica;s/n;Jardim Operário;Planta 2 — Centro de distribuição;1º turno;-;;;CC-5020 Manutenção
50366;Gisele Ramos;Rua Dom Pedro;s/n;Vila Industrial;Planta 1 — Fábrica;2º turno;;;;CC-1010 Produção
50367;Bruno Esteves;Travessa da Fábrica;1075;Centro;Planta 2 — Centro de distribuição;2 TURNO;;-21.151426;-47.805805;CC-3070 Qualidade
